,square,space_H,space_W,square_H,square_W,margin_H,margin_W,amount_sq_H,amount_sq_W,h,w,busbar_width,coverage [%],amount of ptc elements,square/aspect-ratio
178,0.101,3.3,4.8,0.7,6.9,3.15,5.2,39.0,2.0,159.0,29.0,5.379,6.0,78.0,0.1
179,0.101,3.3,2.9999999999999996,0.7,6.9,3.15,6.1,39.0,2.0,159.0,29.0,5.379,6.0,78.0,0.1
180,0.101,3.3,3.3,0.7,6.9,3.15,5.95,39.0,2.0,159.0,29.0,5.379,6.0,78.0,0.1
181,0.101,3.3,3.5999999999999996,0.7,6.9,3.15,5.8,39.0,2.0,159.0,29.0,5.379,6.0,78.0,0.1
182,0.101,3.3,3.8999999999999995,0.7,6.9,3.15,5.65,39.0,2.0,159.0,29.0,5.379,6.0,78.0,0.1
183,0.101,3.3,4.2,0.7,6.9,3.15,5.5,39.0,2.0,159.0,29.0,5.379,6.0,78.0,0.1
184,0.101,3.3,4.5,0.7,6.9,3.15,5.35,39.0,2.0,159.0,29.0,5.379,6.0,78.0,0.1
185,0.101,3.3,4.8,0.7,6.9,3.15,5.2,39.0,2.0,159.0,29.0,5.379,6.0,78.0,0.1
186,0.101,3.3,2.6999999999999997,0.7,6.9,3.15,6.25,39.0,2.0,159.0,29.0,5.379,6.0,78.0,0.1
187,0.101,3.3,2.9999999999999996,0.7,6.9,3.15,6.1,39.0,2.0,159.0,29.0,5.379,6.0,78.0,0.1
188,0.101,3.3,3.3,0.7,6.9,3.15,5.95,39.0,2.0,159.0,29.0,5.379,6.0,78.0,0.1
189,0.101,3.3,3.5999999999999996,0.7,6.9,3.15,5.8,39.0,2.0,159.0,29.0,5.379,6.0,78.0,0.1
190,0.101,3.3,3.8999999999999995,0.7,6.9,3.15,5.65,39.0,2.0,159.0,29.0,5.379,6.0,78.0,0.1
191,0.101,3.3,4.2,0.7,6.9,3.15,5.5,39.0,2.0,159.0,29.0,5.379,6.0,78.0,0.1
192,0.101,3.3,4.5,0.7,6.9,3.15,5.35,39.0,2.0,159.0,29.0,5.379,6.0,78.0,0.1
193,0.101,3.3,4.8,0.7,6.9,3.15,5.2,39.0,2.0,159.0,29.0,5.379,6.0,78.0,0.1
194,0.101,3.3,2.6999999999999997,0.7,6.9,3.15,6.25,39.0,2.0,159.0,29.0,5.379,6.0,78.0,0.1
195,0.101,3.3,2.9999999999999996,0.7,6.9,3.15,6.1,39.0,2.0,159.0,29.0,5.379,6.0,78.0,0.1
196,0.101,3.3,3.3,0.7,6.9,3.15,5.95,39.0,2.0,159.0,29.0,5.379,6.0,78.0,0.1
197,0.101,3.3,3.5999999999999996,0.7,6.9,3.15,5.8,39.0,2.0,159.0,29.0,5.379,6.0,78.0,0.1
198,0.101,3.3,3.8999999999999995,0.7,6.9,3.15,5.65,39.0,2.0,159.0,29.0,5.379,6.0,78.0,0.1
199,0.101,3.3,4.2,0.7,6.9,3.15,5.5,39.0,2.0,159.0,29.0,5.379,6.0,78.0,0.1
200,0.101,3.3,4.5,0.7,6.9,3.15,5.35,39.0,2.0,159.0,29.0,5.379,6.0,78.0,0.1
201,0.101,3.3,4.8,0.7,6.9,3.15,5.2,39.0,2.0,159.0,29.0,5.379,6.0,78.0,0.1
202,0.101,3.3,2.4,0.7,6.9,3.15,6.4,39.0,2.0,159.0,29.0,5.379,6.0,78.0,0.1
203,0.101,3.3,2.6999999999999997,0.7,6.9,3.15,6.25,39.0,2.0,159.0,29.0,5.379,6.0,78.0,0.1
204,0.101,3.3,2.9999999999999996,0.7,6.9,3.15,6.1,39.0,2.0,159.0,29.0,5.379,6.0,78.0,0.1
205,0.101,3.3,3.3,0.7,6.9,3.15,5.95,39.0,2.0,159.0,29.0,5.379,6.0,78.0,0.1
206,0.101,3.3,3.5999999999999996,0.7,6.9,3.15,5.8,39.0,2.0,159.0,29.0,5.379,6.0,78.0,0.1
207,0.101,3.3,3.8999999999999995,0.7,6.9,3.15,5.65,39.0,2.0,159.0,29.0,5.379,6.0,78.0,0.1
208,0.101,3.3,4.2,0.7,6.9,3.15,5.5,39.0,2.0,159.0,29.0,5.379,6.0,78.0,0.1
209,0.101,3.3,4.5,0.7,6.9,3.15,5.35,39.0,2.0,159.0,29.0,5.379,6.0,78.0,0.1
210,0.101,3.3,4.8,0.7,6.9,3.15,5.2,39.0,2.0,159.0,29.0,5.379,6.0,78.0,0.1
